$version=1
!Date,CtrCode,Name,SysId,VarName,Idx,Coef
01/07/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/07/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/07/2025,1,CAPIVARA,pa,HOutf,1,405
01/07/2025,1,CAPIVARA,pa,HOutf,2,405
01/07/2025,1,CAPIVARA,pa,HOutf,3,730
01/07/2025,1,CAPIVARA,pa,HOutf,4,990
01/07/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/07/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/07/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/08/2025,1,CAPIVARA,pa,HVolI,1,4816
01/08/2025,1,CAPIVARA,pa,HVolI,2,6246.9
01/08/2025,1,CAPIVARA,pa,HVolI,3,6247
01/08/2025,1,CAPIVARA,pa,HVolI,4,6533.2
01/08/2025,1,CAPIVARA,pa,HVolI,5,7105.5
01/08/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/08/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/08/2025,1,CAPIVARA,pa,HOutf,1,405
01/08/2025,1,CAPIVARA,pa,HOutf,2,405
01/08/2025,1,CAPIVARA,pa,HOutf,3,730
01/08/2025,1,CAPIVARA,pa,HOutf,4,990
01/08/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/08/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/08/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/09/2025,1,CAPIVARA,pa,HVolI,1,4816
01/09/2025,1,CAPIVARA,pa,HVolI,2,6246.9
01/09/2025,1,CAPIVARA,pa,HVolI,3,6247
01/09/2025,1,CAPIVARA,pa,HVolI,4,6533.2
01/09/2025,1,CAPIVARA,pa,HVolI,5,7105.5
01/09/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/09/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/09/2025,1,CAPIVARA,pa,HOutf,1,405
01/09/2025,1,CAPIVARA,pa,HOutf,2,405
01/09/2025,1,CAPIVARA,pa,HOutf,3,730
01/09/2025,1,CAPIVARA,pa,HOutf,4,990
01/09/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/09/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/09/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/10/2025,1,CAPIVARA,pa,HVolI,1,4816
01/10/2025,1,CAPIVARA,pa,HVolI,2,6246.9
01/10/2025,1,CAPIVARA,pa,HVolI,3,6247
01/10/2025,1,CAPIVARA,pa,HVolI,4,6533.2
01/10/2025,1,CAPIVARA,pa,HVolI,5,7105.5
01/10/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/10/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/10/2025,1,CAPIVARA,pa,HOutf,1,405
01/10/2025,1,CAPIVARA,pa,HOutf,2,405
01/10/2025,1,CAPIVARA,pa,HOutf,3,730
01/10/2025,1,CAPIVARA,pa,HOutf,4,990
01/10/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/10/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/10/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/11/2025,1,CAPIVARA,pa,HVolI,1,4816
01/11/2025,1,CAPIVARA,pa,HVolI,2,6246.9
01/11/2025,1,CAPIVARA,pa,HVolI,3,6247
01/11/2025,1,CAPIVARA,pa,HVolI,4,6533.2
01/11/2025,1,CAPIVARA,pa,HVolI,5,7105.5
01/11/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/11/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/11/2025,1,CAPIVARA,pa,HOutf,1,405
01/11/2025,1,CAPIVARA,pa,HOutf,2,405
01/11/2025,1,CAPIVARA,pa,HOutf,3,730
01/11/2025,1,CAPIVARA,pa,HOutf,4,990
01/11/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/11/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/11/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/12/2025,1,CAPIVARA,pa,HVolI,1,4816
01/12/2025,1,CAPIVARA,pa,HVolI,2,6246.9
01/12/2025,1,CAPIVARA,pa,HVolI,3,6247
01/12/2025,1,CAPIVARA,pa,HVolI,4,6533.2
01/12/2025,1,CAPIVARA,pa,HVolI,5,7105.5
01/12/2025,1,CAPIVARA,pa,HVolI,6,7105.6
01/12/2025,1,CAPIVARA,pa,HVolI,7,10540.1
01/12/2025,1,CAPIVARA,pa,HOutf,1,405
01/12/2025,1,CAPIVARA,pa,HOutf,2,405
01/12/2025,1,CAPIVARA,pa,HOutf,3,730
01/12/2025,1,CAPIVARA,pa,HOutf,4,990
01/12/2025,1,CAPIVARA,pa,HOutf,5,990.01
01/12/2025,1,CAPIVARA,pa,HOutf,6,99999.9
01/12/2025,1,CAPIVARA,pa,HOutf,7,99999.9
01/01/2026,1,CAPIVARA,pa,HVolI,1,4816
01/01/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/01/2026,1,CAPIVARA,pa,HVolI,3,6247
01/01/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/01/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/01/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/01/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/01/2026,1,CAPIVARA,pa,HOutf,1,405
01/01/2026,1,CAPIVARA,pa,HOutf,2,405
01/01/2026,1,CAPIVARA,pa,HOutf,3,730
01/01/2026,1,CAPIVARA,pa,HOutf,4,990
01/01/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/01/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/01/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/02/2026,1,CAPIVARA,pa,HVolI,1,4816
01/02/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/02/2026,1,CAPIVARA,pa,HVolI,3,6247
01/02/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/02/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/02/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/02/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/02/2026,1,CAPIVARA,pa,HOutf,1,405
01/02/2026,1,CAPIVARA,pa,HOutf,2,405
01/02/2026,1,CAPIVARA,pa,HOutf,3,730
01/02/2026,1,CAPIVARA,pa,HOutf,4,990
01/02/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/02/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/02/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/03/2026,1,CAPIVARA,pa,HVolI,1,4816
01/03/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/03/2026,1,CAPIVARA,pa,HVolI,3,6247
01/03/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/03/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/03/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/03/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/03/2026,1,CAPIVARA,pa,HOutf,1,405
01/03/2026,1,CAPIVARA,pa,HOutf,2,405
01/03/2026,1,CAPIVARA,pa,HOutf,3,730
01/03/2026,1,CAPIVARA,pa,HOutf,4,990
01/03/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/03/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/03/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/04/2026,1,CAPIVARA,pa,HVolI,1,4816
01/04/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/04/2026,1,CAPIVARA,pa,HVolI,3,6247
01/04/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/04/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/04/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/04/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/04/2026,1,CAPIVARA,pa,HOutf,1,405
01/04/2026,1,CAPIVARA,pa,HOutf,2,405
01/04/2026,1,CAPIVARA,pa,HOutf,3,730
01/04/2026,1,CAPIVARA,pa,HOutf,4,990
01/04/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/04/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/04/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/05/2026,1,CAPIVARA,pa,HVolI,1,4816
01/05/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/05/2026,1,CAPIVARA,pa,HVolI,3,6247
01/05/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/05/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/05/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/05/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/05/2026,1,CAPIVARA,pa,HOutf,1,405
01/05/2026,1,CAPIVARA,pa,HOutf,2,405
01/05/2026,1,CAPIVARA,pa,HOutf,3,730
01/05/2026,1,CAPIVARA,pa,HOutf,4,990
01/05/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/05/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/05/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/06/2026,1,CAPIVARA,pa,HVolI,1,4816
01/06/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/06/2026,1,CAPIVARA,pa,HVolI,3,6247
01/06/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/06/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/06/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/06/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/06/2026,1,CAPIVARA,pa,HOutf,1,405
01/06/2026,1,CAPIVARA,pa,HOutf,2,405
01/06/2026,1,CAPIVARA,pa,HOutf,3,730
01/06/2026,1,CAPIVARA,pa,HOutf,4,990
01/06/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/06/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/06/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/07/2026,1,CAPIVARA,pa,HVolI,1,4816
01/07/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/07/2026,1,CAPIVARA,pa,HVolI,3,6247
01/07/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/07/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/07/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/07/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/07/2026,1,CAPIVARA,pa,HOutf,1,405
01/07/2026,1,CAPIVARA,pa,HOutf,2,405
01/07/2026,1,CAPIVARA,pa,HOutf,3,730
01/07/2026,1,CAPIVARA,pa,HOutf,4,990
01/07/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/07/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/07/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/08/2026,1,CAPIVARA,pa,HVolI,1,4816
01/08/2026,1,CAPIVARA,pa,HVolI,2,6246.9
01/08/2026,1,CAPIVARA,pa,HVolI,3,6247
01/08/2026,1,CAPIVARA,pa,HVolI,4,6533.2
01/08/2026,1,CAPIVARA,pa,HVolI,5,7105.5
01/08/2026,1,CAPIVARA,pa,HVolI,6,7105.6
01/08/2026,1,CAPIVARA,pa,HVolI,7,10540.1
01/08/2026,1,CAPIVARA,pa,HOutf,1,405
01/08/2026,1,CAPIVARA,pa,HOutf,2,405
01/08/2026,1,CAPIVARA,pa,HOutf,3,730
01/08/2026,1,CAPIVARA,pa,HOutf,4,990
01/08/2026,1,CAPIVARA,pa,HOutf,5,990.01
01/08/2026,1,CAPIVARA,pa,HOutf,6,99999.9
01/08/2026,1,CAPIVARA,pa,HOutf,7,99999.9
01/09/2026,1,CAPIVARA,pa,HVolI,1,4816
01/09/2026,1,CAPIVARA,pa,HVolI,2,6246.9
