$version=1
!code,Date,block,UnitsInService
159,1900/01/01,1,2
159,1900/01/01,2,2
159,1900/01/01,3,2
159,1900/01/01,4,2
160,1900/01/01,1,0
160,1900/01/01,2,0
160,1900/01/01,3,0
160,1900/01/01,4,0
161,1900/01/01,1,1
161,1900/01/01,2,1
161,1900/01/01,3,1
161,1900/01/01,4,1
162,1900/01/01,1,0
162,1900/01/01,2,0
162,1900/01/01,3,0
162,1900/01/01,4,0
163,1900/01/01,1,1
163,1900/01/01,2,1
163,1900/01/01,3,1
163,1900/01/01,4,1
164,1900/01/01,1,1
164,1900/01/01,2,1
164,1900/01/01,3,1
164,1900/01/01,4,1
165,1900/01/01,1,4
165,1900/01/01,2,4
165,1900/01/01,3,4
165,1900/01/01,4,4
166,1900/01/01,1,3
166,1900/01/01,2,3
166,1900/01/01,3,3
166,1900/01/01,4,3
166,2035/01/01,1,4
166,2035/01/01,2,4
166,2035/01/01,3,4
166,2035/01/01,4,4
167,1900/01/01,1,0
167,1900/01/01,2,0
167,1900/01/01,3,0
167,1900/01/01,4,0
227,1900/01/01,1,0
227,1900/01/01,2,0
227,1900/01/01,3,0
227,1900/01/01,4,0
184,1900/01/01,1,0
184,1900/01/01,2,0
184,1900/01/01,3,0
184,1900/01/01,4,0
168,1900/01/01,1,1
168,1900/01/01,2,1
168,1900/01/01,3,1
168,1900/01/01,4,1
169,1900/01/01,1,0
169,1900/01/01,2,0
169,1900/01/01,3,0
169,1900/01/01,4,0
170,1900/01/01,1,1
170,1900/01/01,2,1
170,1900/01/01,3,1
170,1900/01/01,4,1
171,1900/01/01,1,0
171,1900/01/01,2,0
171,1900/01/01,3,0
171,1900/01/01,4,0
172,1900/01/01,1,0
172,1900/01/01,2,0
172,1900/01/01,3,0
172,1900/01/01,4,0
173,1900/01/01,1,0
173,1900/01/01,2,0
173,1900/01/01,3,0
173,1900/01/01,4,0
173,2037/01/01,1,1
173,2037/01/01,2,1
173,2037/01/01,3,1
173,2037/01/01,4,1
174,1900/01/01,1,0
174,1900/01/01,2,0
174,1900/01/01,3,0
174,1900/01/01,4,0
175,1900/01/01,1,0
175,1900/01/01,2,0
175,1900/01/01,3,0
175,1900/01/01,4,0
176,1900/01/01,1,0
176,1900/01/01,2,0
176,1900/01/01,3,0
176,1900/01/01,4,0
177,1900/01/01,1,1
177,1900/01/01,2,1
177,1900/01/01,3,1
177,1900/01/01,4,1
1,1900/01/01,1,1
1,1900/01/01,2,1
1,1900/01/01,3,1
1,1900/01/01,4,1
178,1900/01/01,1,0
178,1900/01/01,2,0
178,1900/01/01,3,0
178,1900/01/01,4,0
179,1900/01/01,1,0
179,1900/01/01,2,0
179,1900/01/01,3,0
179,1900/01/01,4,0
180,1900/01/01,1,1
180,1900/01/01,2,1
180,1900/01/01,3,1
180,1900/01/01,4,1
181,1900/01/01,1,1
181,1900/01/01,2,1
181,1900/01/01,3,1
181,1900/01/01,4,1
182,1900/01/01,1,0
182,1900/01/01,2,0
182,1900/01/01,3,0
182,1900/01/01,4,0
185,1900/01/01,1,0
185,1900/01/01,2,0
185,1900/01/01,3,0
185,1900/01/01,4,0
185,2038/01/01,1,1
185,2038/01/01,2,1
185,2038/01/01,3,1
185,2038/01/01,4,1
186,1900/01/01,1,0
186,1900/01/01,2,0
186,1900/01/01,3,0
186,1900/01/01,4,0
187,1900/01/01,1,0
187,1900/01/01,2,0
187,1900/01/01,3,0
187,1900/01/01,4,0
188,1900/01/01,1,1
188,1900/01/01,2,1
188,1900/01/01,3,1
188,1900/01/01,4,1
190,1900/01/01,1,0
190,1900/01/01,2,0
190,1900/01/01,3,0
190,1900/01/01,4,0
190,2030/01/01,1,1
190,2030/01/01,2,1
190,2030/01/01,3,1
190,2030/01/01,4,1
191,1900/01/01,1,1
191,1900/01/01,2,1
191,1900/01/01,3,1
191,1900/01/01,4,1
193,1900/01/01,1,0
193,1900/01/01,2,0
193,1900/01/01,3,0
193,1900/01/01,4,0
194,1900/01/01,1,1
194,1900/01/01,2,1
194,1900/01/01,3,1
194,1900/01/01,4,1
195,1900/01/01,1,1
195,1900/01/01,2,1
195,1900/01/01,3,1
195,1900/01/01,4,1
196,1900/01/01,1,0
196,1900/01/01,2,0
196,1900/01/01,3,0
196,1900/01/01,4,0
197,1900/01/01,1,0
197,1900/01/01,2,0
197,1900/01/01,3,0
197,1900/01/01,4,0
197,2035/01/01,1,1
197,2035/01/01,2,1
197,2035/01/01,3,1
197,2035/01/01,4,1
198,1900/01/01,1,0
198,1900/01/01,2,0
198,1900/01/01,3,0
198,1900/01/01,4,0
199,1900/01/01,1,0
199,1900/01/01,2,0
199,1900/01/01,3,0
199,1900/01/01,4,0
199,2039/01/01,1,1
199,2039/01/01,2,1
199,2039/01/01,3,1
199,2039/01/01,4,1
2694,1900/01/01,1,0
2694,1900/01/01,2,0
2694,1900/01/01,3,0
2694,1900/01/01,4,0
200,1900/01/01,1,0
200,1900/01/01,2,0
200,1900/01/01,3,0
200,1900/01/01,4,0
200,2035/01/01,1,1
200,2035/01/01,2,1
200,2035/01/01,3,1
200,2035/01/01,4,1
201,1900/01/01,1,0
201,1900/01/01,2,0
201,1900/01/01,3,0
201,1900/01/01,4,0
201,2035/01/01,1,1
201,2035/01/01,2,1
201,2035/01/01,3,1
201,2035/01/01,4,1
202,1900/01/01,1,0
202,1900/01/01,2,0
202,1900/01/01,3,0
202,1900/01/01,4,0
203,1900/01/01,1,0
203,1900/01/01,2,0
203,1900/01/01,3,0
203,1900/01/01,4,0
204,1900/01/01,1,0
204,1900/01/01,2,0
204,1900/01/01,3,0
204,1900/01/01,4,0
205,1900/01/01,1,1
205,1900/01/01,2,1
205,1900/01/01,3,1
205,1900/01/01,4,1
206,1900/01/01,1,1
206,1900/01/01,2,1
206,1900/01/01,3,1
206,1900/01/01,4,1
207,1900/01/01,1,1
207,1900/01/01,2,1
207,1900/01/01,3,1
207,1900/01/01,4,1
192,1900/01/01,1,0
192,1900/01/01,2,0
192,1900/01/01,3,0
192,1900/01/01,4,0
208,1900/01/01,1,1
208,1900/01/01,2,1
208,1900/01/01,3,1
208,1900/01/01,4,1
208,2034/01/01,1,2
208,2034/01/01,2,2
208,2034/01/01,3,2
208,2034/01/01,4,2
209,1900/01/01,1,1
209,1900/01/01,2,1
209,1900/01/01,3,1
209,1900/01/01,4,1
210,1900/01/01,1,0
210,1900/01/01,2,0
210,1900/01/01,3,0
210,1900/01/01,4,0
211,1900/01/01,1,0
211,1900/01/01,2,0
211,1900/01/01,3,0
211,1900/01/01,4,0
211,2038/01/01,1,1
211,2038/01/01,2,1
211,2038/01/01,3,1
211,2038/01/01,4,1
212,1900/01/01,1,1
212,1900/01/01,2,1
212,1900/01/01,3,1
212,1900/01/01,4,1
213,1900/01/01,1,0
213,1900/01/01,2,0
213,1900/01/01,3,0
213,1900/01/01,4,0
183,1900/01/01,1,0
183,1900/01/01,2,0
183,1900/01/01,3,0
183,1900/01/01,4,0
214,1900/01/01,1,1
214,1900/01/01,2,1
214,1900/01/01,3,1
214,1900/01/01,4,1
215,1900/01/01,1,0
215,1900/01/01,2,0
215,1900/01/01,3,0
215,1900/01/01,4,0
216,1900/01/01,1,0
216,1900/01/01,2,0
216,1900/01/01,3,0
216,1900/01/01,4,0
217,1900/01/01,1,0
217,1900/01/01,2,0
217,1900/01/01,3,0
217,1900/01/01,4,0
217,2038/01/01,1,1
217,2038/01/01,2,1
217,2038/01/01,3,1
217,2038/01/01,4,1
217,2039/01/01,1,2
217,2039/01/01,2,2
217,2039/01/01,3,2
217,2039/01/01,4,2
2695,1900/01/01,1,0
2695,1900/01/01,2,0
2695,1900/01/01,3,0
2695,1900/01/01,4,0
218,1900/01/01,1,1
218,1900/01/01,2,1
218,1900/01/01,3,1
218,1900/01/01,4,1
219,1900/01/01,1,1
219,1900/01/01,2,1
219,1900/01/01,3,1
219,1900/01/01,4,1
220,1900/01/01,1,0
220,1900/01/01,2,0
220,1900/01/01,3,0
220,1900/01/01,4,0
222,1900/01/01,1,1
222,1900/01/01,2,1
222,1900/01/01,3,1
222,1900/01/01,4,1
222,2038/01/01,1,0
222,2038/01/01,2,0
222,2038/01/01,3,0
222,2038/01/01,4,0
221,1900/01/01,1,1
221,1900/01/01,2,1
221,1900/01/01,3,1
221,1900/01/01,4,1
2688,1900/01/01,1,0
2688,1900/01/01,2,0
2688,1900/01/01,3,0
2688,1900/01/01,4,0
223,1900/01/01,1,1
223,1900/01/01,2,1
223,1900/01/01,3,1
223,1900/01/01,4,1
224,1900/01/01,1,1
224,1900/01/01,2,1
224,1900/01/01,3,1
224,1900/01/01,4,1
224,2037/01/01,1,0
224,2037/01/01,2,0
224,2037/01/01,3,0
224,2037/01/01,4,0
225,1900/01/01,1,1
225,1900/01/01,2,1
225,1900/01/01,3,1
225,1900/01/01,4,1
225,2037/01/01,1,0
225,2037/01/01,2,0
225,2037/01/01,3,0
225,2037/01/01,4,0
226,1900/01/01,1,1
226,1900/01/01,2,1
226,1900/01/01,3,1
226,1900/01/01,4,1
228,1900/01/01,1,0
228,1900/01/01,2,0
228,1900/01/01,3,0
228,1900/01/01,4,0
228,2036/01/01,1,1
228,2036/01/01,2,1
228,2036/01/01,3,1
228,2036/01/01,4,1
229,1900/01/01,1,1
229,1900/01/01,2,1
229,1900/01/01,3,1
229,1900/01/01,4,1
230,1900/01/01,1,0
230,1900/01/01,2,0
230,1900/01/01,3,0
230,1900/01/01,4,0
231,1900/01/01,1,1
231,1900/01/01,2,1
231,1900/01/01,3,1
231,1900/01/01,4,1
231,2030/01/01,1,0
231,2030/01/01,2,0
231,2030/01/01,3,0
231,2030/01/01,4,0
232,1900/01/01,1,1
232,1900/01/01,2,1
232,1900/01/01,3,1
232,1900/01/01,4,1
367,1900/01/01,1,1
367,1900/01/01,2,1
367,1900/01/01,3,1
367,1900/01/01,4,1
367,2030/01/01,1,0
367,2030/01/01,2,0
367,2030/01/01,3,0
367,2030/01/01,4,0
253,1900/01/01,1,1
253,1900/01/01,2,1
253,1900/01/01,3,1
253,1900/01/01,4,1
253,2038/01/01,1,0
253,2038/01/01,2,0
253,2038/01/01,3,0
253,2038/01/01,4,0
262,1900/01/01,1,1
262,1900/01/01,2,1
262,1900/01/01,3,1
262,1900/01/01,4,1
263,1900/01/01,1,1
263,1900/01/01,2,1
263,1900/01/01,3,1
263,1900/01/01,4,1
233,1900/01/01,1,1
233,1900/01/01,2,1
233,1900/01/01,3,1
233,1900/01/01,4,1
234,1900/01/01,1,1
234,1900/01/01,2,1
234,1900/01/01,3,1
234,1900/01/01,4,1
235,1900/01/01,1,1
235,1900/01/01,2,1
235,1900/01/01,3,1
235,1900/01/01,4,1
236,1900/01/01,1,1
236,1900/01/01,2,1
236,1900/01/01,3,1
236,1900/01/01,4,1
237,1900/01/01,1,1
237,1900/01/01,2,1
237,1900/01/01,3,1
237,1900/01/01,4,1
238,1900/01/01,1,3
238,1900/01/01,2,3
238,1900/01/01,3,3
238,1900/01/01,4,3
238,2035/01/01,1,2
238,2035/01/01,2,2
238,2035/01/01,3,2
238,2035/01/01,4,2
239,1900/01/01,1,1
239,1900/01/01,2,1
239,1900/01/01,3,1
239,1900/01/01,4,1
240,1900/01/01,1,1
240,1900/01/01,2,1
240,1900/01/01,3,1
240,1900/01/01,4,1
241,1900/01/01,1,0
241,1900/01/01,2,0
241,1900/01/01,3,0
241,1900/01/01,4,0
241,2030/01/01,1,1
241,2030/01/01,2,1
241,2030/01/01,3,1
241,2030/01/01,4,1
241,2040/01/01,1,0
241,2040/01/01,2,0
241,2040/01/01,3,0
241,2040/01/01,4,0
242,1900/01/01,1,1
242,1900/01/01,2,1
242,1900/01/01,3,1
242,1900/01/01,4,1
242,2034/01/01,1,0
242,2034/01/01,2,0
242,2034/01/01,3,0
242,2034/01/01,4,0
243,1900/01/01,1,2
243,1900/01/01,2,2
243,1900/01/01,3,2
243,1900/01/01,4,2
244,1900/01/01,1,4
244,1900/01/01,2,4
244,1900/01/01,3,4
244,1900/01/01,4,4
245,1900/01/01,1,1
245,1900/01/01,2,1
245,1900/01/01,3,1
245,1900/01/01,4,1
246,1900/01/01,1,1
246,1900/01/01,2,1
246,1900/01/01,3,1
246,1900/01/01,4,1
247,1900/01/01,1,1
247,1900/01/01,2,1
247,1900/01/01,3,1
247,1900/01/01,4,1
248,1900/01/01,1,1
248,1900/01/01,2,1
248,1900/01/01,3,1
248,1900/01/01,4,1
249,1900/01/01,1,2
249,1900/01/01,2,2
249,1900/01/01,3,2
249,1900/01/01,4,2
249,2030/01/01,1,1
249,2030/01/01,2,1
249,2030/01/01,3,1
249,2030/01/01,4,1
250,1900/01/01,1,2
250,1900/01/01,2,2
250,1900/01/01,3,2
250,1900/01/01,4,2
251,1900/01/01,1,1
251,1900/01/01,2,1
251,1900/01/01,3,1
251,1900/01/01,4,1
252,1900/01/01,1,1
252,1900/01/01,2,1
252,1900/01/01,3,1
252,1900/01/01,4,1
278,1900/01/01,1,1
278,1900/01/01,2,1
278,1900/01/01,3,1
278,1900/01/01,4,1
278,2035/01/01,1,0
278,2035/01/01,2,0
278,2035/01/01,3,0
278,2035/01/01,4,0
278,2038/01/01,1,1
278,2038/01/01,2,1
278,2038/01/01,3,1
278,2038/01/01,4,1
2689,1900/01/01,1,0
2689,1900/01/01,2,0
2689,1900/01/01,3,0
2689,1900/01/01,4,0
254,1900/01/01,1,1
254,1900/01/01,2,1
254,1900/01/01,3,1
254,1900/01/01,4,1
256,1900/01/01,1,1
256,1900/01/01,2,1
256,1900/01/01,3,1
256,1900/01/01,4,1
255,1900/01/01,1,1
255,1900/01/01,2,1
255,1900/01/01,3,1
255,1900/01/01,4,1
255,2037/01/01,1,0
255,2037/01/01,2,0
255,2037/01/01,3,0
255,2037/01/01,4,0
257,1900/01/01,1,1
257,1900/01/01,2,1
257,1900/01/01,3,1
257,1900/01/01,4,1
258,1900/01/01,1,1
258,1900/01/01,2,1
258,1900/01/01,3,1
258,1900/01/01,4,1
259,1900/01/01,1,1
259,1900/01/01,2,1
259,1900/01/01,3,1
259,1900/01/01,4,1
259,2035/01/01,1,0
259,2035/01/01,2,0
259,2035/01/01,3,0
259,2035/01/01,4,0
260,1900/01/01,1,1
260,1900/01/01,2,1
260,1900/01/01,3,1
260,1900/01/01,4,1
261,1900/01/01,1,2
261,1900/01/01,2,2
261,1900/01/01,3,2
261,1900/01/01,4,2
264,1900/01/01,1,1
264,1900/01/01,2,1
264,1900/01/01,3,1
264,1900/01/01,4,1
264,2034/01/01,1,0
264,2034/01/01,2,0
264,2034/01/01,3,0
264,2034/01/01,4,0
277,1900/01/01,1,1
277,1900/01/01,2,1
277,1900/01/01,3,1
277,1900/01/01,4,1
265,1900/01/01,1,2
265,1900/01/01,2,2
265,1900/01/01,3,2
265,1900/01/01,4,2
266,1900/01/01,1,1
266,1900/01/01,2,1
266,1900/01/01,3,1
266,1900/01/01,4,1
266,2035/01/01,1,0
266,2035/01/01,2,0
266,2035/01/01,3,0
266,2035/01/01,4,0
267,1900/01/01,1,1
267,1900/01/01,2,1
267,1900/01/01,3,1
267,1900/01/01,4,1
268,1900/01/01,1,1
268,1900/01/01,2,1
268,1900/01/01,3,1
268,1900/01/01,4,1
269,1900/01/01,1,1
269,1900/01/01,2,1
269,1900/01/01,3,1
269,1900/01/01,4,1
270,1900/01/01,1,2
270,1900/01/01,2,2
270,1900/01/01,3,2
270,1900/01/01,4,2
271,1900/01/01,1,0
271,1900/01/01,2,0
271,1900/01/01,3,0
271,1900/01/01,4,0
272,1900/01/01,1,0
272,1900/01/01,2,0
272,1900/01/01,3,0
272,1900/01/01,4,0
273,1900/01/01,1,1
273,1900/01/01,2,1
273,1900/01/01,3,1
273,1900/01/01,4,1
274,1900/01/01,1,1
274,1900/01/01,2,1
274,1900/01/01,3,1
274,1900/01/01,4,1
276,1900/01/01,1,1
276,1900/01/01,2,1
276,1900/01/01,3,1
276,1900/01/01,4,1
279,1900/01/01,1,2
279,1900/01/01,2,2
279,1900/01/01,3,2
279,1900/01/01,4,2
285,1900/01/01,1,0
285,1900/01/01,2,0
285,1900/01/01,3,0
285,1900/01/01,4,0
285,2030/01/01,1,1
285,2030/01/01,2,1
285,2030/01/01,3,1
285,2030/01/01,4,1
285,2031/01/01,1,0
285,2031/01/01,2,0
285,2031/01/01,3,0
285,2031/01/01,4,0
280,1900/01/01,1,1
280,1900/01/01,2,1
280,1900/01/01,3,1
280,1900/01/01,4,1
282,1900/01/01,1,3
282,1900/01/01,2,3
282,1900/01/01,3,3
282,1900/01/01,4,3
282,2038/01/01,1,2
282,2038/01/01,2,2
282,2038/01/01,3,2
282,2038/01/01,4,2
281,1900/01/01,1,0
281,1900/01/01,2,0
281,1900/01/01,3,0
281,1900/01/01,4,0
281,2030/01/01,1,1
281,2030/01/01,2,1
281,2030/01/01,3,1
281,2030/01/01,4,1
281,2031/01/01,1,0
281,2031/01/01,2,0
281,2031/01/01,3,0
281,2031/01/01,4,0
284,1900/01/01,1,1
284,1900/01/01,2,1
284,1900/01/01,3,1
284,1900/01/01,4,1
286,1900/01/01,1,3
286,1900/01/01,2,3
286,1900/01/01,3,3
286,1900/01/01,4,3
287,1900/01/01,1,1
287,1900/01/01,2,1
287,1900/01/01,3,1
287,1900/01/01,4,1
288,1900/01/01,1,2
288,1900/01/01,2,2
288,1900/01/01,3,2
288,1900/01/01,4,2
289,1900/01/01,1,1
289,1900/01/01,2,1
289,1900/01/01,3,1
289,1900/01/01,4,1
2616,1900/01/01,1,1
2616,1900/01/01,2,1
2616,1900/01/01,3,1
2616,1900/01/01,4,1
2616,2037/01/01,1,0
2616,2037/01/01,2,0
2616,2037/01/01,3,0
2616,2037/01/01,4,0
290,1900/01/01,1,2
290,1900/01/01,2,2
290,1900/01/01,3,2
290,1900/01/01,4,2
291,1900/01/01,1,1
291,1900/01/01,2,1
291,1900/01/01,3,1
291,1900/01/01,4,1
292,1900/01/01,1,3
292,1900/01/01,2,3
292,1900/01/01,3,3
292,1900/01/01,4,3
351,1900/01/01,1,1
351,1900/01/01,2,1
351,1900/01/01,3,1
351,1900/01/01,4,1
293,1900/01/01,1,1
293,1900/01/01,2,1
293,1900/01/01,3,1
293,1900/01/01,4,1
293,2034/01/01,1,2
293,2034/01/01,2,2
293,2034/01/01,3,2
293,2034/01/01,4,2
294,1900/01/01,1,0
294,1900/01/01,2,0
294,1900/01/01,3,0
294,1900/01/01,4,0
295,1900/01/01,1,1
295,1900/01/01,2,1
295,1900/01/01,3,1
295,1900/01/01,4,1
295,2032/01/01,1,2
295,2032/01/01,2,2
295,2032/01/01,3,2
295,2032/01/01,4,2
296,1900/01/01,1,1
296,1900/01/01,2,1
296,1900/01/01,3,1
296,1900/01/01,4,1
297,1900/01/01,1,1
297,1900/01/01,2,1
297,1900/01/01,3,1
297,1900/01/01,4,1
298,1900/01/01,1,0
298,1900/01/01,2,0
298,1900/01/01,3,0
298,1900/01/01,4,0
299,1900/01/01,1,0
299,1900/01/01,2,0
299,1900/01/01,3,0
299,1900/01/01,4,0
299,2036/01/01,1,1
299,2036/01/01,2,1
299,2036/01/01,3,1
299,2036/01/01,4,1
300,1900/01/01,1,1
300,1900/01/01,2,1
300,1900/01/01,3,1
300,1900/01/01,4,1
301,1900/01/01,1,0
301,1900/01/01,2,0
301,1900/01/01,3,0
301,1900/01/01,4,0
301,2037/01/01,1,1
301,2037/01/01,2,1
301,2037/01/01,3,1
301,2037/01/01,4,1
302,1900/01/01,1,0
302,1900/01/01,2,0
302,1900/01/01,3,0
302,1900/01/01,4,0
303,1900/01/01,1,1
303,1900/01/01,2,1
303,1900/01/01,3,1
303,1900/01/01,4,1
304,1900/01/01,1,0
304,1900/01/01,2,0
304,1900/01/01,3,0
304,1900/01/01,4,0
305,1900/01/01,1,1
305,1900/01/01,2,1
305,1900/01/01,3,1
305,1900/01/01,4,1
306,1900/01/01,1,0
306,1900/01/01,2,0
306,1900/01/01,3,0
306,1900/01/01,4,0
307,1900/01/01,1,1
307,1900/01/01,2,1
307,1900/01/01,3,1
307,1900/01/01,4,1
308,1900/01/01,1,0
308,1900/01/01,2,0
308,1900/01/01,3,0
308,1900/01/01,4,0
309,1900/01/01,1,0
309,1900/01/01,2,0
309,1900/01/01,3,0
309,1900/01/01,4,0
310,1900/01/01,1,1
310,1900/01/01,2,1
310,1900/01/01,3,1
310,1900/01/01,4,1
311,1900/01/01,1,0
311,1900/01/01,2,0
311,1900/01/01,3,0
311,1900/01/01,4,0
312,1900/01/01,1,0
312,1900/01/01,2,0
312,1900/01/01,3,0
312,1900/01/01,4,0
313,1900/01/01,1,1
313,1900/01/01,2,1
313,1900/01/01,3,1
313,1900/01/01,4,1
314,1900/01/01,1,1
314,1900/01/01,2,1
314,1900/01/01,3,1
314,1900/01/01,4,1
315,1900/01/01,1,1
315,1900/01/01,2,1
315,1900/01/01,3,1
315,1900/01/01,4,1
316,1900/01/01,1,1
316,1900/01/01,2,1
316,1900/01/01,3,1
316,1900/01/01,4,1
317,1900/01/01,1,0
317,1900/01/01,2,0
317,1900/01/01,3,0
317,1900/01/01,4,0
317,2037/01/01,1,1
317,2037/01/01,2,1
317,2037/01/01,3,1
317,2037/01/01,4,1
318,1900/01/01,1,0
318,1900/01/01,2,0
318,1900/01/01,3,0
318,1900/01/01,4,0
319,1900/01/01,1,1
319,1900/01/01,2,1
319,1900/01/01,3,1
319,1900/01/01,4,1
320,1900/01/01,1,0
320,1900/01/01,2,0
320,1900/01/01,3,0
320,1900/01/01,4,0
320,2033/01/01,1,1
320,2033/01/01,2,1
320,2033/01/01,3,1
320,2033/01/01,4,1
321,1900/01/01,1,1
321,1900/01/01,2,1
321,1900/01/01,3,1
321,1900/01/01,4,1
321,2030/01/01,1,0
321,2030/01/01,2,0
321,2030/01/01,3,0
321,2030/01/01,4,0
321,2031/01/01,1,1
321,2031/01/01,2,1
321,2031/01/01,3,1
321,2031/01/01,4,1
322,1900/01/01,1,1
322,1900/01/01,2,1
322,1900/01/01,3,1
322,1900/01/01,4,1
323,1900/01/01,1,0
323,1900/01/01,2,0
323,1900/01/01,3,0
323,1900/01/01,4,0
324,1900/01/01,1,0
324,1900/01/01,2,0
324,1900/01/01,3,0
324,1900/01/01,4,0
324,2036/01/01,1,1
324,2036/01/01,2,1
324,2036/01/01,3,1
324,2036/01/01,4,1
325,1900/01/01,1,1
325,1900/01/01,2,1
325,1900/01/01,3,1
325,1900/01/01,4,1
325,2035/01/01,1,0
325,2035/01/01,2,0
325,2035/01/01,3,0
325,2035/01/01,4,0
326,1900/01/01,1,1
326,1900/01/01,2,1
326,1900/01/01,3,1
326,1900/01/01,4,1
327,1900/01/01,1,5
327,1900/01/01,2,5
327,1900/01/01,3,5
327,1900/01/01,4,5
328,1900/01/01,1,0
328,1900/01/01,2,0
328,1900/01/01,3,0
328,1900/01/01,4,0
329,1900/01/01,1,7
329,1900/01/01,2,7
329,1900/01/01,3,7
329,1900/01/01,4,7
330,1900/01/01,1,1
330,1900/01/01,2,1
330,1900/01/01,3,1
330,1900/01/01,4,1
330,2030/01/01,1,2
330,2030/01/01,2,2
330,2030/01/01,3,2
330,2030/01/01,4,2
330,2035/01/01,1,3
330,2035/01/01,2,3
330,2035/01/01,3,3
330,2035/01/01,4,3
330,2038/01/01,1,2
330,2038/01/01,2,2
330,2038/01/01,3,2
330,2038/01/01,4,2
330,2039/01/01,1,3
330,2039/01/01,2,3
330,2039/01/01,3,3
330,2039/01/01,4,3
331,1900/01/01,1,0
331,1900/01/01,2,0
331,1900/01/01,3,0
331,1900/01/01,4,0
332,1900/01/01,1,2
332,1900/01/01,2,2
332,1900/01/01,3,2
332,1900/01/01,4,2
333,1900/01/01,1,1
333,1900/01/01,2,1
333,1900/01/01,3,1
333,1900/01/01,4,1
334,1900/01/01,1,0
334,1900/01/01,2,0
334,1900/01/01,3,0
334,1900/01/01,4,0
334,2039/01/01,1,1
334,2039/01/01,2,1
334,2039/01/01,3,1
334,2039/01/01,4,1
335,1900/01/01,1,0
335,1900/01/01,2,0
335,1900/01/01,3,0
335,1900/01/01,4,0
336,1900/01/01,1,5
336,1900/01/01,2,5
336,1900/01/01,3,5
336,1900/01/01,4,5
337,1900/01/01,1,2
337,1900/01/01,2,2
337,1900/01/01,3,2
337,1900/01/01,4,2
337,2030/01/01,1,3
337,2030/01/01,2,3
337,2030/01/01,3,3
337,2030/01/01,4,3
337,2035/01/01,1,4
337,2035/01/01,2,4
337,2035/01/01,3,4
337,2035/01/01,4,4
338,1900/01/01,1,2
338,1900/01/01,2,2
338,1900/01/01,3,2
338,1900/01/01,4,2
339,1900/01/01,1,5
339,1900/01/01,2,5
339,1900/01/01,3,5
339,1900/01/01,4,5
339,2039/01/01,1,2
339,2039/01/01,2,2
339,2039/01/01,3,2
339,2039/01/01,4,2
339,2040/01/01,1,5
339,2040/01/01,2,5
339,2040/01/01,3,5
339,2040/01/01,4,5
340,1900/01/01,1,0
340,1900/01/01,2,0
340,1900/01/01,3,0
340,1900/01/01,4,0
341,1900/01/01,1,0
341,1900/01/01,2,0
341,1900/01/01,3,0
341,1900/01/01,4,0
342,1900/01/01,1,6
342,1900/01/01,2,6
342,1900/01/01,3,6
342,1900/01/01,4,6
343,1900/01/01,1,0
343,1900/01/01,2,0
343,1900/01/01,3,0
343,1900/01/01,4,0
344,1900/01/01,1,0
344,1900/01/01,2,0
344,1900/01/01,3,0
344,1900/01/01,4,0
345,1900/01/01,1,0
345,1900/01/01,2,0
345,1900/01/01,3,0
345,1900/01/01,4,0
346,1900/01/01,1,0
346,1900/01/01,2,0
346,1900/01/01,3,0
346,1900/01/01,4,0
347,1900/01/01,1,0
347,1900/01/01,2,0
347,1900/01/01,3,0
347,1900/01/01,4,0
347,2037/01/01,1,1
347,2037/01/01,2,1
347,2037/01/01,3,1
347,2037/01/01,4,1
348,1900/01/01,1,1
348,1900/01/01,2,1
348,1900/01/01,3,1
348,1900/01/01,4,1
349,1900/01/01,1,0
349,1900/01/01,2,0
349,1900/01/01,3,0
349,1900/01/01,4,0
350,1900/01/01,1,1
350,1900/01/01,2,1
350,1900/01/01,3,1
350,1900/01/01,4,1
350,2039/01/01,1,2
350,2039/01/01,2,2
350,2039/01/01,3,2
350,2039/01/01,4,2
352,1900/01/01,1,0
352,1900/01/01,2,0
352,1900/01/01,3,0
352,1900/01/01,4,0
2617,1900/01/01,1,0
2617,1900/01/01,2,0
2617,1900/01/01,3,0
2617,1900/01/01,4,0
2618,1900/01/01,1,0
2618,1900/01/01,2,0
2618,1900/01/01,3,0
2618,1900/01/01,4,0
353,1900/01/01,1,1
353,1900/01/01,2,1
353,1900/01/01,3,1
353,1900/01/01,4,1
354,1900/01/01,1,0
354,1900/01/01,2,0
354,1900/01/01,3,0
354,1900/01/01,4,0
355,1900/01/01,1,3
355,1900/01/01,2,3
355,1900/01/01,3,3
355,1900/01/01,4,3
356,1900/01/01,1,3
356,1900/01/01,2,3
356,1900/01/01,3,3
356,1900/01/01,4,3
357,1900/01/01,1,0
357,1900/01/01,2,0
357,1900/01/01,3,0
357,1900/01/01,4,0
2,1900/01/01,1,1
2,1900/01/01,2,1
2,1900/01/01,3,1
2,1900/01/01,4,1
3,1900/01/01,1,1
3,1900/01/01,2,1
3,1900/01/01,3,1
3,1900/01/01,4,1
4,1900/01/01,1,1
4,1900/01/01,2,1
4,1900/01/01,3,1
4,1900/01/01,4,1
358,1900/01/01,1,1
358,1900/01/01,2,1
358,1900/01/01,3,1
358,1900/01/01,4,1
359,1900/01/01,1,2
359,1900/01/01,2,2
359,1900/01/01,3,2
359,1900/01/01,4,2
360,1900/01/01,1,0
360,1900/01/01,2,0
360,1900/01/01,3,0
360,1900/01/01,4,0
